,Total Current Assets,Total Current Liabilities,Total Debt,"Total Assets, Reported",Net Income - Actual,Revenue Per Share,Total Revenue,Total Equity,Total CO2 Equivalent Emissions To Revenues USD in million,Company Market Capitalization,"Property Plant And Equipment, Total - Gross",P/E (Daily Time Series Ratio),returns_yearly,Current Ratio,Debt-to-Equity Ratio,Return on Assets,Revenue Per Employee,Return on Equity,Asset Turnover Ratio,Net Income Margin,RIC,Year,ESG Score
373,-0.26737410581623533,-0.3899709689479636,-0.055698483131697764,0.049242072541052555,0.06629632327444761,-0.8270799133946366,-0.34873743569117566,0.33490869255208966,-0.37867937393712897,0.0464219013930242,-0.4702452900614342,0.967969292805566,0.6696128955051641,0.12914112641441183,-0.3823544101195963,-0.13973331690013535,-0.6327405936378698,-0.3682283024562443,-0.7967856381553559,0.43457950795803685,MGGT.L,2019,59.7192934
374,-0.24211651495436515,-0.12800005187877916,-0.1435616092488401,0.0654498640038901,0.13319456871064467,-0.8108532662521865,-0.27006075512573713,0.36705255573933043,-0.42253699230154573,-0.20533645411967644,-0.43817742437481066,-0.7881606948923201,-0.7102858168346975,-0.5067479204934054,-0.483116223097801,-0.07315818315419415,-0.4082380622325569,-0.32478051791809864,-0.6975263741614534,0.3432227679249709,MGGT.L,2020,73.8436923
375,-0.8804217005641556,-0.8604591304485457,-0.7891338327106655,-0.9543425664142573,-0.7795270495912974,0.2859783659288002,-0.8383859144546717,-0.8667091598188145,0.0246521756634674,-0.8128566577923829,-0.7278406253390928,-0.2750024986604673,1.0269960689500488,0.5075626552990766,-0.9403686881898441,0.43881642019360906,-0.4309873593853986,-0.19275377948000563,0.18761960810983214,-0.07734248016452122,KAI,2016,33.60452793
376,-0.8792934341572081,-0.8657063647191496,-0.772718983352665,-0.9447612210882268,-0.7801969320836989,0.35534282222270086,-0.8331914739080508,-0.860100788054618,-0.48136766829928784,-0.7513098491292711,-0.7263041280658529,0.469175793201386,1.3488453262345075,0.7507184497040449,-0.77044313585375,0.218607050028679,-0.6508731541424714,-0.2643350448683286,0.07373649760372195,-0.1463948523334479,KAI,2017,27.59227998
377,-0.8496078848770151,-0.8362449976550209,-0.6907082279170802,-0.8943480993750528,-0.7367429945665932,0.6489621679295676,-0.8113689412365046,-0.8401510954665986,0.054090968369201575,-0.7795150434739274,-0.7165225611034345,-0.039451933107623974,-1.1439595818123536,0.3786387305390455,-0.05416032127497146,0.07608515191236931,-0.4465213679920399,0.0047157561339255345,-0.3179106365139416,0.03457505801932451,KAI,2018,27.51611155
378,-0.8563177813294536,-0.8384493121425164,-0.7216411224198462,-0.9004838892496483,-0.7097654868325968,1.001422132986638,-0.7856869645416852,-0.8228352639094404,-0.27216673290406257,-0.7397217331739164,-0.7152123436158322,-0.2574041378257413,0.5167479719870834,0.3179114479016111,-0.42928118936399845,0.4402805644988579,-0.4838022897617934,0.08881508695531552,0.061126211227709074,0.003694941800713515,KAI,2019,50.26591916
379,-0.8336436741423002,-0.8267646089968291,-0.6631898611070538,-0.8633969497326355,-0.7082837067594044,1.2083044119979802,-0.7703629432147164,-0.8010849756440979,-0.27216673290406257,-0.6784532666904416,-0.7061556390175756,0.7871230704136155,0.6992093314410136,0.4065415984432979,-0.08913970090963393,0.047290243352753315,-0.5883208272251955,-0.07454888462934255,-0.17636884768113903,-0.10228734605916245,KAI,2020,50.26591916
380,-0.7689206464103043,-0.5602670002495787,-0.4190399267195127,-0.40702524888124825,-0.15746406538887148,-0.7399246550613396,-0.6819638116907333,-0.1201978672894465,-0.5566843316937222,1.1966657435158001,-0.711879750544092,1.502954739063768,0.13019566312291658,-1.039954287828886,-0.5368536061984728,0.1425054031821116,-0.966298912057028,0.14164193958141608,-1.021045878166008,0.7303731374502129,INFO.K,2016,21.19483565
381,-0.5118985232132973,0.03444222155419875,0.7760447657393357,1.3928816730813416,0.6545573901420075,-0.6425800333054295,-0.33131366379568966,2.3581890488446864,-0.6112167950589352,1.6287368166534917,-0.5145800772829685,1.7643059201253743,0.3256601220331975,-1.19095497187457,-0.5055247212778757,-0.4727934919213334,-0.8850499010269339,-0.7114511988973071,-1.2443093150428828,1.347530449598365,INFO.K,2017,25.16179722
382,-0.47066367470826564,0.3702244068292728,1.1539116941647396,1.5001299680176847,1.4316210813278416,-0.6424839157976573,-0.14426709113353162,2.32518844078378,-0.6268084635485123,1.7767527089892887,-0.4786246028701771,1.6219225976774432,-0.30187419955476186,-1.3401783985457927,-0.3535786069939388,-0.08587814853466617,-0.8461752270273776,-0.39226928369180897,-1.1457909757385487,1.71186916483773,INFO.K,2018,58.22267835
